prompt,strategy,synthetic_ratio,classifier,metric,mean,std,count,mean_std,ci_lower,ci_upper,ci_95
weak,within_group,10,random_forest,auc_roc,0.9926411806037346,0.0011561698262163554,100,0.9926 ± 0.0012,0.9924145713177962,0.9928677898896731,"[0.9924, 0.9929]"
weak,within_group,10,random_forest,balanced_accuracy,0.9614131897711978,0.006453984217977326,100,0.9614 ± 0.0065,0.9601482088644743,0.9626781706779214,"[0.9601, 0.9627]"
weak,within_group,10,random_forest,f1_score,0.784451839842982,0.040012971705355935,100,0.7845 ± 0.0400,0.7766092973887322,0.7922943822972317,"[0.7766, 0.7923]"
weak,within_group,10,random_forest,precision,0.6555339269833808,0.05779934891734197,100,0.6555 ± 0.0578,0.6442052545955818,0.6668625993711798,"[0.6442, 0.6669]"
weak,within_group,10,random_forest,recall,0.9814670255720054,0.0086186867159763,100,0.9815 ± 0.0086,0.979777762975674,0.9831562881683368,"[0.9798, 0.9832]"
weak,within_group,10,svm,accuracy,0.9447052489905787,0.0027984183004957936,100,0.9447 ± 0.0028,0.9441567590036816,0.9452537389774759,"[0.9442, 0.9453]"
weak,within_group,10,svm,auc_pr,0.6668360542436205,0.032064614417486,100,0.6668 ± 0.0321,0.6605513898177933,0.6731207186694477,"[0.6606, 0.6731]"
weak,within_group,10,svm,auc_roc,0.7627757862073838,0.030823091512627975,100,0.7628 ± 0.0308,0.7567344602709087,0.768817112143859,"[0.7567, 0.7688]"
weak,within_group,10,svm,balanced_accuracy,0.7254523702706744,0.014259119903792132,100,0.7255 ± 0.0143,0.7226575827695312,0.7282471577718177,"[0.7227, 0.7282]"
weak,within_group,10,svm,f1_score,0.6196204286067037,0.027003845283490476,100,0.6196 ± 0.0270,0.6143276749311396,0.6249131822822679,"[0.6143, 0.6249]"
weak,within_group,10,svm,precision,0.9905841448307632,0.0067232177845891195,100,0.9906 ± 0.0067,0.9892663941449837,0.9919018955165426,"[0.9893, 0.9919]"
weak,within_group,10,svm,recall,0.45138627187079405,0.028603107173329152,100,0.4514 ± 0.0286,0.4457800628648215,0.4569924808767666,"[0.4458, 0.4570]"
weak,within_group,20,random_forest,accuracy,0.9440349932705249,0.013036638539023562,100,0.9440 ± 0.0130,0.9414798121168763,0.9465901744241735,"[0.9415, 0.9466]"
weak,within_group,20,random_forest,auc_pr,0.9441765303614069,0.009098705198637865,100,0.9442 ± 0.0091,0.9423931841424739,0.94595987658034,"[0.9424, 0.9460]"
weak,within_group,20,random_forest,auc_roc,0.9922167094265585,0.0013859312104773835,100,0.9922 ± 0.0014,0.991945066909305,0.992488351943812,"[0.9919, 0.9925]"
weak,within_group,20,random_forest,balanced_accuracy,0.9599835501719756,0.006872311696432245,100,0.9600 ± 0.0069,0.9586365770794748,0.9613305232644763,"[0.9586, 0.9613]"
weak,within_group,20,random_forest,f1_score,0.7800297649312244,0.039775746588664326,100,0.7800 ± 0.0398,0.7722337185998462,0.7878258112626026,"[0.7722, 0.7878]"
weak,within_group,20,random_forest,precision,0.6501156373651723,0.05752221050185886,100,0.6501 ± 0.0575,0.638841284106808,0.6613899906235366,"[0.6388, 0.6614]"
weak,within_group,20,random_forest,recall,0.9799192462987887,0.010557247971346932,100,0.9799 ± 0.0106,0.9778500256964047,0.9819884669011727,"[0.9779, 0.9820]"
weak,within_group,20,svm,accuracy,0.943864064602961,0.0029330354042766565,100,0.9439 ± 0.0029,0.9432891896637228,0.9444389395421993,"[0.9433, 0.9444]"
weak,within_group,20,svm,auc_pr,0.6612899604440535,0.033627204366231754,100,0.6613 ± 0.0336,0.6546990283882721,0.667880892499835,"[0.6547, 0.6679]"
weak,within_group,20,svm,auc_roc,0.7589250622076422,0.03171225595846226,100,0.7589 ± 0.0317,0.7527094600397836,0.7651406643755009,"[0.7527, 0.7651]"
weak,within_group,20,svm,balanced_accuracy,0.7207978166591894,0.01488277407919324,100,0.7208 ± 0.0149,0.7178807929396676,0.7237148403787113,"[0.7179, 0.7237]"
weak,within_group,20,svm,f1_score,0.6109983565166881,0.02873412706686917,100,0.6110 ± 0.0287,0.6053664676115817,0.6166302454217945,"[0.6054, 0.6166]"
weak,within_group,20,svm,precision,0.9926134442155056,0.006202136959218167,100,0.9926 ± 0.0062,0.9913978253714988,0.9938290630595124,"[0.9914, 0.9938]"
weak,within_group,20,svm,recall,0.4419650067294751,0.029834254667817247,100,0.4420 ± 0.0298,0.4361174928145829,0.4478125206443673,"[0.4361, 0.4478]"
weak,within_group,30,random_forest,accuracy,0.9438452220726784,0.012810869411837301,100,0.9438 ± 0.0128,0.9413342916679583,0.9463561524773985,"[0.9413, 0.9464]"
weak,within_group,30,random_forest,auc_pr,0.9426369789443099,0.010398502568375165,100,0.9426 ± 0.0104,0.9405988724409083,0.9446750854477114,"[0.9406, 0.9447]"
weak,within_group,30,random_forest,auc_roc,0.9920667106643714,0.0015849597119313719,100,0.9921 ± 0.0016,0.9917560585608328,0.9923773627679099,"[0.9918, 0.9924]"
weak,within_group,30,random_forest,balanced_accuracy,0.9591662928069389,0.006723664507347321,100,0.9592 ± 0.0067,0.9578484545634988,0.960484131050379,"[0.9578, 0.9605]"
weak,within_group,30,random_forest,f1_score,0.7791395031637635,0.03884605015973432,100,0.7791 ± 0.0388,0.7715256773324556,0.7867533289950713,"[0.7715, 0.7868]"
weak,within_group,30,random_forest,precision,0.6497236937467353,0.05754170010334808,100,0.6497 ± 0.0575,0.6384455205264791,0.6610018669669916,"[0.6384, 0.6610]"
weak,within_group,30,random_forest,recall,0.9783176312247645,0.01349681989586064,100,0.9783 ± 0.0135,0.9756722545251758,0.9809630079243531,"[0.9757, 0.9810]"
weak,within_group,30,svm,accuracy,0.9423687752355316,0.002763168528535794,100,0.9424 ± 0.0028,0.9418271942039387,0.9429103562671246,"[0.9418, 0.9429]"
weak,within_group,30,svm,auc_pr,0.6533531608603154,0.0339938004321846,100,0.6534 ± 0.0340,0.6466903759756072,0.6600159457450235,"[0.6467, 0.6600]"
weak,within_group,30,svm,auc_roc,0.7537474421050788,0.032191336161021114,100,0.7537 ± 0.0322,0.7474379402175186,0.760056943992639,"[0.7474, 0.7601]"
weak,within_group,30,svm,balanced_accuracy,0.7131897711978467,0.01390668039217431,100,0.7132 ± 0.0139,0.7104640618409805,0.7159154805547128,"[0.7105, 0.7159]"
weak,within_group,30,svm,f1_score,0.5963799381216232,0.027438538214940363,100,0.5964 ± 0.0274,0.5910019846314949,0.6017578916117514,"[0.5910, 0.6018]"
weak,within_group,30,svm,precision,0.9930038959564957,0.00626509255462063,100,0.9930 ± 0.0063,0.9917759378157901,0.9942318540972014,"[0.9918, 0.9942]"
weak,within_group,30,svm,recall,0.42671601615074023,0.027850909619262825,100,0.4267 ± 0.0279,0.42125723786536473,0.43217479443611573,"[0.4213, 0.4322]"
weak,within_group,40,random_forest,accuracy,0.9445222072678331,0.012757557711746081,100,0.9445 ± 0.0128,0.9420217259563308,0.9470226885793354,"[0.9420, 0.9470]"
weak,within_group,40,random_forest,auc_pr,0.9401299399831244,0.008795949261498246,100,0.9401 ± 0.0088,0.9384059339278708,0.9418539460383781,"[0.9384, 0.9419]"
weak,within_group,40,random_forest,auc_roc,0.9918072238354043,0.0013427564918858648,100,0.9918 ± 0.0013,0.9915440435629946,0.992070404107814,"[0.9915, 0.9921]"
weak,within_group,40,random_forest,balanced_accuracy,0.9590638552415133,0.00637108389390017,100,0.9591 ± 0.0064,0.9578151227983088,0.9603125876847177,"[0.9578, 0.9603]"
weak,within_group,40,random_forest,f1_score,0.7810437340226831,0.03880415905491902,100,0.7810 ± 0.0388,0.773438118847919,0.7886493491974472,"[0.7734, 0.7886]"
weak,within_group,40,random_forest,precision,0.6528335259925481,0.057739274118682446,100,0.6528 ± 0.0577,0.6415166282652863,0.6641504237198098,"[0.6415, 0.6642]"
weak,within_group,40,random_forest,recall,0.9772409152086138,0.012700887217109286,100,0.9772 ± 0.0127,0.9747515413140604,0.9797302891031672,"[0.9748, 0.9797]"
weak,within_group,40,svm,accuracy,0.9408681022880215,0.0028971499709457486,100,0.9409 ± 0.0029,0.9403002608937162,0.9414359436823269,"[0.9403, 0.9414]"
weak,within_group,40,svm,auc_pr,0.645306234587689,0.0337698540551628,100,0.6453 ± 0.0338,0.6386873431928771,0.6519251259825009,"[0.6387, 0.6519]"
weak,within_group,40,svm,auc_roc,0.7480979164289161,0.03426047768207623,100,0.7481 ± 0.0343,0.7413828628032292,0.754812970054603,"[0.7414, 0.7548]"
weak,within_group,40,svm,balanced_accuracy,0.705471063257066,0.014661259275155212,100,0.7055 ± 0.0147,0.7025974564391355,0.7083446700749965,"[0.7026, 0.7083]"
weak,within_group,40,svm,f1_score,0.5811296404786702,0.029423994749646798,100,0.5811 ± 0.0294,0.5753625375077395,0.586896743449601,"[0.5754, 0.5869]"
weak,within_group,40,svm,precision,0.993931048272054,0.005642017743562541,100,0.9939 ± 0.0056,0.9928252127943158,0.9950368837497923,"[0.9928, 0.9950]"
weak,within_group,40,svm,recall,0.4112247644683715,0.029376684002421917,100,0.4112 ± 0.0294,0.40546693440389675,0.4169825945328462,"[0.4055, 0.4170]"
weak,within_group,50,random_forest,accuracy,0.9448640646029609,0.012578502492273373,100,0.9449 ± 0.0126,0.9423986781144753,0.9473294510914465,"[0.9424, 0.9473]"
weak,within_group,50,random_forest,auc_pr,0.9367491532918247,0.011776403667923029,100,0.9367 ± 0.0118,0.9344409781729118,0.9390573284107376,"[0.9344, 0.9391]"
weak,within_group,50,random_forest,auc_roc,0.9913239978093732,0.0021152329434188225,100,0.9913 ± 0.0021,0.9909094121524631,0.9917385834662833,"[0.9909, 0.9917]"
weak,within_group,50,random_forest,balanced_accuracy,0.957997607297742,0.007743836859671056,100,0.9580 ± 0.0077,0.9564798152732464,0.9595153993222375,"[0.9565, 0.9595]"
weak,within_group,50,random_forest,f1_score,0.7815239208009703,0.038140104380219364,100,0.7815 ± 0.0381,0.7740484603424473,0.7889993812594933,"[0.7740, 0.7890]"
weak,within_group,50,random_forest,precision,0.6547026210212299,0.05646537079602761,100,0.6547 ± 0.0565,0.6436354083452085,0.6657698336972513,"[0.6436, 0.6658]"
weak,within_group,50,random_forest,recall,0.974414535666218,0.015583965300786408,100,0.9744 ± 0.0156,0.9713600784672639,0.9774689928651722,"[0.9714, 0.9775]"
weak,within_group,50,svm,accuracy,0.9389946164199192,0.0028945897492489276,100,0.9390 ± 0.0029,0.9384272768290665,0.939561956010772,"[0.9384, 0.9396]"
weak,within_group,50,svm,auc_pr,0.6321300707383415,0.035514469802562676,100,0.6321 ± 0.0355,0.6251692346570392,0.6390909068196438,"[0.6252, 0.6391]"
weak,within_group,50,svm,auc_roc,0.7390072147379831,0.03566116981482166,100,0.7390 ± 0.0357,0.7320176254542781,0.7459968040216882,"[0.7320, 0.7460]"
weak,within_group,50,svm,balanced_accuracy,0.6959540900254224,0.014531816986660203,100,0.6960 ± 0.0145,0.693105853896037,0.6988023261548079,"[0.6931, 0.6988]"
weak,within_group,50,svm,f1_score,0.5618615821290615,0.03006528682906456,100,0.5619 ± 0.0301,0.5559687859105648,0.5677543783475582,"[0.5560, 0.5678]"
weak,within_group,50,svm,precision,0.9944343234771997,0.005631398276858898,100,0.9944 ± 0.0056,0.9933305694149354,0.9955380775394641,"[0.9933, 0.9955]"
weak,within_group,50,svm,recall,0.39215343203230146,0.029087651175869547,100,0.3922 ± 0.0291,0.386452252401831,0.3978546116627719,"[0.3865, 0.3979]"
weak,within_group,60,random_forest,accuracy,0.9471359353970391,0.012092805722933928,100,0.9471 ± 0.0121,0.9447657454753441,0.9495061253187341,"[0.9448, 0.9495]"
weak,within_group,60,random_forest,auc_pr,0.933245666358874,0.01170835006056797,100,0.9332 ± 0.0117,0.9309508297470026,0.9355405029707453,"[0.9310, 0.9355]"
weak,within_group,60,random_forest,auc_roc,0.9909845875195056,0.0018617366699882109,100,0.9910 ± 0.0019,0.9906196871321878,0.9913494879068233,"[0.9906, 0.9913]"
weak,within_group,60,random_forest,balanced_accuracy,0.9574233587557949,0.008415708672753087,100,0.9574 ± 0.0084,0.9557738798559353,0.9590728376556544,"[0.9558, 0.9591]"
weak,within_group,60,random_forest,f1_score,0.7878765867686213,0.037821859875373995,100,0.7879 ± 0.0378,0.780463502233048,0.7952896713041946,"[0.7805, 0.7953]"
weak,within_group,60,random_forest,precision,0.665592175923167,0.05729181218448448,100,0.6656 ± 0.0573,0.654362980735008,0.676821371111326,"[0.6544, 0.6768]"
weak,within_group,60,random_forest,recall,0.9702826379542395,0.01746542281510128,100,0.9703 ± 0.0175,0.9668594150824796,0.9737058608259994,"[0.9669, 0.9737]"
weak,within_group,60,svm,accuracy,0.936892328398385,0.0034647451326437757,100,0.9369 ± 0.0035,0.9362132383523868,0.9375714184443832,"[0.9362, 0.9376]"
weak,within_group,60,svm,auc_pr,0.6222252241952574,0.036038549893790774,100,0.6222 ± 0.0360,0.6151616684160744,0.6292887799744403,"[0.6152, 0.6293]"
weak,within_group,60,svm,auc_roc,0.7331605789421671,0.03683242667422826,100,0.7332 ± 0.0368,0.7259414233140183,0.7403797345703159,"[0.7259, 0.7404]"
weak,within_group,60,svm,balanced_accuracy,0.6851854344250037,0.0172964404116667,100,0.6852 ± 0.0173,0.681795332104317,0.6885755367456904,"[0.6818, 0.6886]"
weak,within_group,60,svm,f1_score,0.539162831060977,0.03733086231746785,100,0.5392 ± 0.0373,0.5318459820467533,0.5464796800752006,"[0.5318, 0.5465]"
weak,within_group,60,svm,precision,0.9955937092183771,0.005322649800114192,100,0.9956 ± 0.0053,0.9945504698575547,0.9966369485791995,"[0.9946, 0.9966]"
weak,within_group,60,svm,recall,0.37055181695827727,0.03459194848519546,100,0.3706 ± 0.0346,0.363771795055179,0.37733183886137556,"[0.3638, 0.3773]"
weak,within_group,70,random_forest,accuracy,0.9481830417227457,0.01225846353662498,100,0.9482 ± 0.0123,0.9457803828695672,0.9505857005759242,"[0.9458, 0.9506]"
weak,within_group,70,random_forest,auc_pr,0.9303867802188875,0.011355625472871686,100,0.9304 ± 0.0114,0.9281610776262047,0.9326124828115704,"[0.9282, 0.9326]"
weak,within_group,70,random_forest,auc_roc,0.9906788165543275,0.0017967773269212802,100,0.9907 ± 0.0018,0.990326648198251,0.9910309849104041,"[0.9903, 0.9910]"
weak,within_group,70,random_forest,balanced_accuracy,0.9568206968745326,0.00809128843699465,100,0.9568 ± 0.0081,0.9552348043408817,0.9584065894081836,"[0.9552, 0.9584]"
