accuracy,precision,recall,f1,model_name,dataset_name,test_samples,positive_predictions,true_positives,experiment_timestamp,dataset_type,malicious_ratio,training_samples,feature_count,model_file,vectorizer_file
0.9773830820342448,0.9783696186842579,0.9773830820342448,0.9774290657998038,DeepLearning,pure_original_20pct,7826,4199,4366,2025-07-31T14:45:45.356518,pure_original,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_original_20pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_original_20pct_DeepLearning_vectorizer.joblib
0.606312292358804,0.7917505781320077,0.606312292358804,0.5596319449227903,RandomForest,pure_strong_5pct,7826,1285,4366,2025-07-31T14:45:54.831650,pure_strong,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_5pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_5pct_RandomForest_vectorizer.joblib
0.7363915154612829,0.8348568972471553,0.7363915154612829,0.7258886003772135,SVM,pure_strong_5pct,7826,2303,4366,2025-07-31T14:47:24.376514,pure_strong,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_5pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_5pct_SVM_vectorizer.joblib
0.8814209046767186,0.9063946977051835,0.8814209046767186,0.8813850478159989,DeepLearning,pure_strong_5pct,7826,3440,4366,2025-07-31T14:47:57.667696,pure_strong,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_5pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_5pct_DeepLearning_vectorizer.joblib
0.6567850753897265,0.8067810544823387,0.6567850753897265,0.6285309771896531,RandomForest,pure_strong_10pct,7826,1680,4366,2025-07-31T14:48:06.904287,pure_strong,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_10pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_10pct_RandomForest_vectorizer.joblib
0.8364426271403016,0.880610018967393,0.8364426271403016,0.8351612853244623,SVM,pure_strong_10pct,7826,3086,4366,2025-07-31T14:49:40.170445,pure_strong,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_10pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_10pct_SVM_vectorizer.joblib
0.9419882443138257,0.9486615139171459,0.9419882443138257,0.9421832712659316,DeepLearning,pure_strong_10pct,7826,3914,4366,2025-07-31T14:50:05.826647,pure_strong,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_10pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_10pct_DeepLearning_vectorizer.joblib
0.6863020700230003,0.8165012953980695,0.6863020700230003,0.6660303237386498,RandomForest,pure_strong_15pct,7826,1911,4366,2025-07-31T14:50:14.532168,pure_strong,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_15pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_15pct_RandomForest_vectorizer.joblib
0.9071045233835932,0.9231499473803253,0.9071045233835932,0.9073036658265484,SVM,pure_strong_15pct,7826,3641,4366,2025-07-31T14:51:51.280949,pure_strong,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_15pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_15pct_SVM_vectorizer.joblib
0.9686940966010733,0.9707010877478696,0.9686940966010733,0.9687766115079868,DeepLearning,pure_strong_15pct,7826,4125,4366,2025-07-31T14:52:22.016013,pure_strong,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_15pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_15pct_DeepLearning_vectorizer.joblib
