Testing_Method,Testing_Prompt,Testing_Strategy,Training_Ratio,Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std
claude35haiku,strong,within_group,100,svm,0.9211228421421213,0.005847193176654713,0.9945906432748538,0.016656403939913595,0.21244793361633466,0.05837259072463486,0.34651693256770694,0.07837770440085429,0.7131565414225245,0.05863077807138856,0.5631070464096116,0.06007710830717952,0.6061562161306605,0.029185859263483646
claude35haiku,strong,within_group,100,random_forest,0.9605924844574659,0.010209333094816649,0.7274259706190818,0.057252838845607376,0.9828488228957255,0.020694943209235938,0.8345464686284995,0.035464238279123816,0.9953075992429667,0.0012902414057127574,0.9572454992546231,0.013088552459178759,0.9704841904300258,0.009692830430508722
claude35haiku,strong,within_group,50,svm,0.911701169338549,0.004662519945873589,0.9836659663865547,0.042399948979648806,0.11878565687441486,0.04635361129934033,0.20918734763321184,0.0721852783421762,0.6171818955527268,0.03889608053903405,0.42624667832120344,0.0630800491341515,0.5592942749100449,0.023181923592753922
claude35haiku,strong,within_group,50,random_forest,0.9573590138772632,0.011449956371046514,0.7155795384979661,0.06392927748546005,0.9707143628386593,0.023824998196813173,0.8218676479212051,0.039034500280807,0.9931459254918614,0.0015023470006590098,0.9313788545811388,0.01822859853194421,0.9632947245267726,0.010558304511302253
claude35haiku,weak,cross_group,0,svm,0.9000999999999999,0.0010208355710680818,0.35416666666666663,0.43919367239447454,0.006,0.008207826816681233,0.011737453838078091,0.015936325655424965,0.32106972222222224,0.044248314743259805,0.09104337531553228,0.01793770096478613,0.5027222222222222,0.0040860624607008365
claude35haiku,weak,cross_group,0,random_forest,0.9435,0.007742568593241661,0.6775576313282637,0.04151550927758628,0.8394999999999999,0.05576973334968294,0.7482752560131452,0.031588958129024354,0.9744988888888889,0.005093874954617693,0.7903179151148965,0.030550342217307406,0.8972777777777777,0.026127529987770737
claude35haiku,weak,cross_group,100,svm,0.9133000000000001,0.0029217874846167668,1.0,0.0,0.133,0.02921787484616764,0.23365002164865295,0.04594752324527495,0.6885997222222222,0.04286941333846027,0.5180132682531041,0.050842957274010864,0.5665000000000001,0.014608937423083796
claude35haiku,weak,cross_group,100,random_forest,0.9572499999999999,0.005571308076584043,0.7251739937573864,0.03524403220957102,0.9289999999999999,0.048763662053234944,0.8130533788751343,0.02155225661161669,0.9899211111111109,0.002848455573691761,0.9146882006096927,0.023511604943638527,0.9446944444444444,0.021925263658271715
claude35haiku,weak,cross_group,50,svm,0.9057499999999999,0.0021974866025578086,0.9732323232323232,0.05704823766226823,0.05950000000000001,0.022589005243585578,0.11126164696382226,0.04011159865756811,0.6066050000000001,0.053506002981915185,0.3586637746499644,0.06988668522127574,0.529638888888889,0.011242317425896393
claude35haiku,weak,cross_group,50,random_forest,0.9490000000000001,0.009193819434243493,0.6961929306770014,0.05008376648998772,0.884,0.05538382815454916,0.7767087712926161,0.03263319614765454,0.9842433333333334,0.003974411166394124,0.8660094985009673,0.02549599050047035,0.9201111111111112,0.02536580969522711
claude35haiku,weak,within_group,0,svm,0.9004232202279725,0.0008009727792244231,0.4833333333333333,0.47418751688503,0.007248830734799272,0.007143994617852737,0.014242533524734846,0.013977391031900294,0.33197738761915974,0.0353259295840237,0.09522605109365029,0.019345081480116873,0.5034568248976734,0.0035228155314335863
claude35haiku,weak,within_group,0,random_forest,0.946288954382067,0.007213277269103093,0.683654384576371,0.03893214294175788,0.8705517928505673,0.04348055817516222,0.7645844380452429,0.026338093698227847,0.9788499123532226,0.005344756486254592,0.8175058048779045,0.030742391759600755,0.9126279937014005,0.019997980984986247
claude35haiku,weak,within_group,100,svm,0.9121342206067803,0.0036124051200905082,0.9944444444444445,0.024845199749997673,0.1219751174602065,0.035627819771216575,0.21562889892199283,0.05630605582516348,0.6760326829900641,0.062246097480883576,0.48511402913685353,0.07010794470387,0.5609523969860807,0.017836104179203144
claude35haiku,weak,within_group,100,random_forest,0.9605555654095003,0.007678429393479981,0.7425414534098513,0.055731214156437295,0.9406257737431479,0.040432697812381596,0.8276746001259105,0.026441646890078083,0.991751678836511,0.0020523878595711635,0.9299391258427676,0.018010765635333232,0.9516978802244547,0.01671736427043195
claude35haiku,weak,within_group,50,svm,0.9051434279194265,0.002971303404622812,0.9208333333333334,0.22857779204801124,0.05322868542711492,0.029294209443014883,0.09952860348680817,0.052372115191023846,0.5768116552474776,0.0686435458097085,0.33651888698626975,0.07864760786517921,0.5265146534783991,0.014654332158279432
claude35haiku,weak,within_group,50,random_forest,0.9518067018289326,0.00769570533526795,0.698925433971125,0.05980772298130241,0.9318907587115879,0.05204012469828089,0.7955123047622206,0.02311014056868315,0.9874402113954371,0.0033163073203731947,0.8875843232261025,0.025719866163453894,0.9429551715545573,0.020952280568977088
gpt41mini,original,cross_group,0,svm,0.90815,0.003910512148447812,0.9417635142635143,0.08434629810896342,0.08650000000000001,0.03773522715475624,0.15649464927089415,0.06236821782862736,0.5263861111111112,0.04934696286160596,0.29942397518124975,0.06736459745687338,0.5429722222222223,0.0189140484315277
gpt41mini,original,cross_group,0,random_forest,0.9576999999999998,0.007834471735121723,0.710718055301012,0.041495989890988294,0.9814999999999998,0.011821033884786196,0.8236216568246443,0.02595616645689562,0.9913430555555556,0.002835457221960836,0.9276632870664704,0.02475617689729428,0.9682777777777776,0.0051485408014956486
gpt41mini,original,cross_group,100,svm,0.92275,0.004265837364580682,1.0,0.0,0.22750000000000004,0.04265837364580679,0.36882761143730336,0.055895549537175966,0.7103186111111112,0.062256071131306545,0.5903306440147059,0.06399106181468105,0.61375,0.021329186822903412
gpt41mini,original,cross_group,100,random_forest,0.97895,0.005375137697134646,0.9030618659761933,0.055559182189105584,0.892,0.07338435226868692,0.8935772650425182,0.03118410553287452,0.994663888888889,0.0018492666653244674,0.9695141830162972,0.01088150148849767,0.9403055555555555,0.03432561799417836
gpt41mini,original,cross_group,50,svm,0.9232499999999998,0.005179666723682239,0.9906922628724631,0.016788057641006767,0.23500000000000001,0.05306401298134368,0.37686472482220557,0.07028250610132274,0.6894580555555556,0.04970258694516399,0.5371128774934255,0.051716838876544935,0.617361111111111,0.026453138160122326
gpt41mini,original,cross_group,50,random_forest,0.9554,0.0067387332871831004,0.6961621892759673,0.03246586845447833,0.9879999999999999,0.007677718959499152,0.8164128713114553,0.023133076275039525,0.9934166666666666,0.0020333173552562864,0.9518643355343274,0.014623442452706411,0.9698888888888886,0.005864508729474018
gpt41mini,original,within_group,0,svm,0.9182500000000002,0.005189817966587637,0.9692285954785955,0.04746385193982346,0.18750000000000003,0.04843606746608303,0.3120100487200336,0.06847812863425237,0.677835,0.0608466517798105,0.47075357091960307,0.07034630742126773,0.5934722222222224,0.02439247199564816
gpt41mini,original,within_group,0,random_forest,0.9588499999999998,0.008209590027586807,0.7130084908926938,0.04207601755813943,0.993,0.006569466853317869,0.8293051284949892,0.027952585810343954,0.995712777777778,0.0013730690854615786,0.9405137438119269,0.021239032997518816,0.9740277777777777,0.004665117398081408
gpt41mini,original,within_group,100,svm,0.9324,0.0058973678339086805,1.0,0.0,0.32399999999999995,0.058973678339087045,0.4865919857776859,0.06706066416813602,0.792718888888889,0.05072816063442008,0.7028844896034703,0.05850740754596772,0.662,0.029486839169543515
