strategy,synthetic_ratio,classifier,metric,baseline_mean,baseline_std,baseline_n,test_mean,test_std,test_n,absolute_change,relative_change_pct,t_statistic,t_pvalue,t_test_type,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,ks_statistic,ks_pvalue,kl_divergence,js_divergence,is_significant_t,is_significant_wilcoxon,is_significant_ks,t_pvalue_corrected,is_significant_t_corrected,wilcoxon_pvalue_corrected,is_significant_wilcoxon_corrected,effect_size_category
cross_group,50,deep_learning,accuracy,0.9587499999999999,0.011921119714108043,15,0.9530555555555557,0.008548801704450215,15,-0.005694444444444224,-0.593944661741249,1.795012562233509,0.09426387174427281,paired_ttest,33.5,0.1316742637245892,0.5489719609012681,0.4666666666666667,0.07546400948132746,4.595424676560429,0.21741507543222346,False,False,False,0.16814636581410827,False,0.2275000368016463,False,Medium
cross_group,50,deep_learning,precision,0.9637615222455346,0.02774049668752842,15,0.889445984057816,0.07654022775200238,15,-0.07431553818771852,-7.710988296624005,3.2433026306321517,0.005890667917618345,paired_ttest,16.0,0.01025390625,1.2909377116552305,0.6,0.007655808318750842,9.732308937068607,0.2444182337545903,True,True,True,0.023141909676357784,True,0.03485196974099993,True,Large
cross_group,50,deep_learning,recall,0.6125,0.12909944487358055,15,0.6194444444444446,0.12286537132528216,15,0.006944444444444531,1.1337868480725763,-0.1627115171752836,0.8730708179369888,paired_ttest,51.0,0.9249414325548433,-0.05510547046563224,0.13333333333333333,0.9997887537139585,3.18688728166938,0.18009383124604078,False,False,False,0.9009388326430785,False,0.9538458523221821,False,Negligible
cross_group,50,deep_learning,f1_score,0.7402016730271787,0.09995448549300905,15,0.7189943957855126,0.07468724240099608,15,-0.021207277241666045,-2.8650674558644718,0.7547098256108438,0.4629305161721128,paired_ttest,49.0,0.5614013671875,0.24036342843125838,0.26666666666666666,0.6781382270680966,1.7128719405026422,0.1392262716230939,False,False,False,0.578663145215141,False,0.6836252810770296,False,Small
cross_group,50,deep_learning,auc_roc,0.9660976080246912,0.01950301736388456,15,0.9485886059670784,0.025978741242583286,15,-0.017509002057612855,-1.81234296743703,2.6430328967043457,0.019289700886017867,paired_ttest,19.0,0.01806640625,0.7622476626837412,0.4,0.18441617684449832,0.48465771720940665,0.12504474835105256,True,True,False,0.052608275143685095,False,0.05122902610939502,False,Medium
cross_group,50,deep_learning,auc_pr,0.8718154170889642,0.05778392473806532,15,0.8421343257922193,0.04498761032575031,15,-0.0296810912967449,-3.404515533328324,2.4853775315139974,0.026195909678998437,paired_ttest,24.0,0.041259765625,0.5731870207836309,0.6,0.007655808318750842,3.5969991169915354,0.3069178747700884,True,True,True,0.06089272995819011,False,0.08631559139952617,False,Medium
cross_group,50,deep_learning,balanced_accuracy,0.804861111111111,0.0639450571668899,15,0.8047839506172837,0.05851274863836993,15,-7.716049382733292e-05,-0.009586808551454652,0.00375439891111508,0.9970574037320641,paired_ttest,52.0,0.9749599188317098,0.00125895910619823,0.2,0.9383310279844598,3.113646462555852,0.15909422045560462,False,False,False,0.9970574037320641,False,0.9869384765625,False,Negligible
cross_group,75,svm,accuracy,0.9305555555555557,0.0026895717681995855,15,0.9262500000000001,0.0053868225460708625,15,-0.0043055555555555625,-0.4626865671641798,2.597545326876036,0.021077782087642886,paired_ttest,14.5,0.029371960043211076,1.0113006478689124,0.5333333333333333,0.026248485664288602,0.4620981176571043,0.1438410362258905,True,True,True,0.05520371499144565,False,0.07438562628331491,False,Large
cross_group,75,svm,precision,1.0,0.0,15,0.9910714285714286,0.023622779563076693,15,-0.008928571428571397,-0.8928571428571397,1.4638501094227996,0.16532498648706276,paired_ttest,0.0,0.17971249487899976,0.534522483824847,0.13333333333333333,0.9997887537139585,0.14310084139540336,0.04859279318085927,False,False,False,0.2597964073368129,False,0.2810669351188148,False,Medium
cross_group,75,svm,recall,0.3055555555555556,0.02689571768199596,15,0.2652777777777778,0.05481902645410316,15,-0.0402777777777778,-13.181818181818189,2.4118859168479188,0.030173767891069698,paired_ttest,14.0,0.04854404834166106,0.9328527957330793,0.4666666666666667,0.07546400948132746,0.25004470156704733,0.07300232043573722,True,True,False,0.06644709168177593,False,0.09827936167330154,False,Large
